id,place_id,option,vegetarian_type_id,created_at,updated_at
72,73,1,1,"2023-05-28 21:47:54.332319","2023-05-28 21:47:54.332319"
73,74,1,1,"2023-05-28 21:47:54.333729","2023-05-28 21:47:54.333729"
74,75,1,1,"2023-05-28 21:47:54.335187","2023-05-28 21:47:54.335187"
75,76,1,1,"2023-05-28 21:47:54.336577","2023-05-28 21:47:54.336577"
76,77,1,1,"2023-05-28 21:47:54.338580","2023-05-28 21:47:54.338580"
77,78,1,1,"2023-05-28 21:47:54.340448","2023-05-28 21:47:54.340448"
78,79,1,1,"2023-05-28 21:47:54.342150","2023-05-28 21:47:54.342150"
79,80,1,1,"2023-05-28 21:47:54.343828","2023-05-28 21:47:54.343828"
80,81,1,1,"2023-05-28 21:47:54.345411","2023-05-28 21:47:54.345411"
81,82,1,1,"2023-05-28 21:47:54.346755","2023-05-28 21:47:54.346755"
82,83,1,1,"2023-05-28 21:47:54.348070","2023-05-28 21:47:54.348070"
83,84,1,1,"2023-05-28 21:47:54.349361","2023-05-28 21:47:54.349361"
84,85,1,1,"2023-05-28 21:47:54.350656","2023-05-28 21:47:54.350656"
85,86,1,1,"2023-05-28 21:47:54.351948","2023-05-28 21:47:54.351948"
86,87,1,1,"2023-05-28 21:47:54.353396","2023-05-28 21:47:54.353396"
87,88,1,1,"2023-05-28 21:47:54.355249","2023-05-28 21:47:54.355249"
88,89,1,1,"2023-05-28 21:47:54.357269","2023-05-28 21:47:54.357269"
89,90,1,1,"2023-05-28 21:47:54.358928","2023-05-28 21:47:54.358928"
90,91,1,1,"2023-05-28 21:47:54.360459","2023-05-28 21:47:54.360459"
91,92,1,1,"2023-05-28 21:47:54.362256","2023-05-28 21:47:54.362256"
92,93,1,1,"2023-05-28 21:47:54.364053","2023-05-28 21:47:54.364053"
93,94,1,1,"2023-05-28 21:47:54.365911","2023-05-28 21:47:54.365911"
94,95,1,1,"2023-05-28 21:47:54.367628","2023-05-28 21:47:54.367628"
95,96,1,1,"2023-05-28 21:47:54.369336","2023-05-28 21:47:54.369336"
96,97,1,1,"2023-05-28 21:47:54.371135","2023-05-28 21:47:54.371135"
97,98,1,1,"2023-05-28 21:47:54.373314","2023-05-28 21:47:54.373314"
98,99,1,1,"2023-05-28 21:47:54.375355","2023-05-28 21:47:54.375355"
99,100,1,1,"2023-05-28 21:47:54.377356","2023-05-28 21:47:54.377356"
100,101,1,1,"2023-05-28 21:47:54.381263","2023-05-28 21:47:54.381263"
101,102,1,1,"2023-05-28 21:47:54.383605","2023-05-28 21:47:54.383605"
102,103,1,1,"2023-05-28 21:47:54.385900","2023-05-28 21:47:54.385900"
103,104,1,1,"2023-05-28 21:47:54.387991","2023-05-28 21:47:54.387991"
104,105,1,1,"2023-05-28 21:47:54.390287","2023-05-28 21:47:54.390287"
105,106,1,1,"2023-05-28 21:47:54.392470","2023-05-28 21:47:54.392470"
106,107,1,1,"2023-05-28 21:47:54.394905","2023-05-28 21:47:54.394905"
107,108,1,1,"2023-05-28 21:47:54.397772","2023-05-28 21:47:54.397772"
108,109,1,1,"2023-05-28 21:47:54.399942","2023-05-28 21:47:54.399942"
109,110,1,1,"2023-05-28 21:47:54.401976","2023-05-28 21:47:54.401976"
110,111,1,1,"2023-05-28 21:47:54.404084","2023-05-28 21:47:54.404084"
111,112,1,1,"2023-05-28 21:47:54.406430","2023-05-28 21:47:54.406430"
112,113,1,1,"2023-05-28 21:47:54.408580","2023-05-28 21:47:54.408580"
113,114,1,1,"2023-05-28 21:47:54.410709","2023-05-28 21:47:54.410709"
114,115,1,1,"2023-05-28 21:47:54.412857","2023-05-28 21:47:54.412857"
115,116,1,1,"2023-05-28 21:47:54.415075","2023-05-28 21:47:54.415075"
116,117,1,1,"2023-05-28 21:47:54.416902","2023-05-28 21:47:54.416902"
117,118,1,1,"2023-05-28 21:47:54.418745","2023-05-28 21:47:54.418745"
118,119,1,2,"2023-05-28 21:48:48.747314","2023-05-28 21:48:48.747314"
119,120,1,2,"2023-05-28 21:48:48.751394","2023-05-28 21:48:48.751394"
120,121,1,2,"2023-05-28 21:48:48.755003","2023-05-28 21:48:48.755003"
121,122,1,2,"2023-05-28 21:48:48.758465","2023-05-28 21:48:48.758465"
122,123,1,2,"2023-05-28 21:48:48.761228","2023-05-28 21:48:48.761228"
123,124,1,2,"2023-05-28 21:48:48.763524","2023-05-28 21:48:48.763524"
